,t1,t2,rel
2050,nws,national weather service,synonym
2051,nws,national weather services,synonym
2052,controller area network,can,synonym
2053,can,controller area network,synonym
2054,can,api,sibling
2055,can,controller area networking,synonym
2056,news gathering,package delivery,sibling
2057,package delivery,news gathering,sibling
2058,package delivery,infrastructure inspection,sibling
2059,package delivery,weather forecasting,sibling
2060,package delivery,emergency management,sibling
2061,package delivery,video footage,sibling
2062,package delivery,precision agriculture,sibling
2063,package delivery,air taxi services,sibling
2064,package delivery,beyond line of sight,sibling
2065,flight stack,px4,synonym
2066,px4,flight stack,synonym
2067,px4,apm,sibling
2068,px4,mavlink,sibling
2069,px4,flight control,synonym
2070,px4,pixhawk autopilot,sibling
2071,united states special operations command,ussocom,synonym
2072,ussocom,united states special operations command,synonym
2073,ussocom,commission us special operations command,synonym
2074,ussocom,special operations command,synonym
2075,windows communication foundation,wcf,synonym
2076,wcf,windows communication foundation,synonym
2077,wcf,jms,sibling
2078,uas air traffic management,utm,synonym
2079,underground storage tanks,ust,synonym
2080,ust,underground storage tanks,synonym
2081,controls testbed nasa technical reports server,ntrs,synonym
2082,ground control segment,ocx,synonym
2083,ocx,ground control segment,synonym
2084,current time indicator,cti,synonym
2085,cti,current time indicator,synonym
2086,cti,computer telephony integration,synonym
2087,nanyang technological university,ntu,synonym
2088,ntu,nanyang technological university,synonym
2089,ntu,eri@n,synonym
2090,ntu,technological university,synonym
2091,java message service,jms,synonym
2092,new york city drone film festival,nycdff,synonym
2093,nycdff,new york city drone film festival,synonym
2094,weblogic server initializing weblogic scripting tool,wlst,synonym
2095,japan uav association,juav,synonym
2096,juav,japan uav association,synonym
2097,micro electro mechanical system,mems,synonym
2098,pm,est,synonym
2099,pm,program manager,synonym
2100,pm,particle mesh,synonym
2101,pm,private messages,synonym
2102,est,pm,synonym
2103,est,hours,synonym
2104,system of systems,sos,synonym
2105,sos,system of systems,synonym
2106,sos,special operations squadron,synonym
2107,genetic algorithm,ga,synonym
2108,tactically exploited reconnaissance node,tern,synonym
2109,tern,tactically exploited reconnaissance node,synonym
2110,tern,reconnaissance node,synonym
2111,tern,ship based tactically exploited reconnaissance node,synonym
2112,tern,tactically enhanced reconnaissance node,synonym
2113,intelligent orientation control,ioc,synonym
2114,ioc,intelligent orientation control,synonym
2115,ioc,initial operating capability,synonym
2116,ioc,inversion of control,synonym
2117,ioc,initial operational capability,synonym
2118,international drone expo,ide,synonym
2119,ide,international drone expo,synonym
2120,ide,integrated development environment,synonym
2121,ide,command line tools,sibling
2122,ide,wpf,ancestor
2123,ide,integrated development environments,synonym
2124,do it yourself,diy,synonym
2125,diy,do it yourself,synonym
2126,diy,professional grade,sibling
2127,remotely operated video enhanced receiver,rover,synonym
2128,rover,remotely operated video enhanced receiver,synonym
2129,rover,remote operational video enhanced receiver,synonym
2130,eastward equatorial electric field,eef,synonym
2131,eef,eastward equatorial electric field,synonym
2132,eef,equatorial electric field,synonym
2133,mobile directional antenna system,mdas,synonym
2134,mdas,mobile directional antenna system,synonym
2135,tactical unmanned aerial systems,uas,synonym
2136,movement tracking system,mts,synonym
2137,mts,movement tracking system,synonym
2138,mts,management training school,synonym
2139,coe uas,unmanned aircraft systems,synonym
2140,over the horizon,oth,synonym
2141,oth,over the horizon,synonym
2142,kansas department of transportation,kdot,synonym
2143,kdot,kansas department of transportation,synonym
2144,kdot,private sector,sibling
2145,national renewable energy laboratory,nrel,synonym
2146,nrel,national renewable energy laboratory,synonym
2147,synthetic aperture radars,sars,synonym
2148,synthetic aperture radars,sar,synonym
2149,sars,synthetic aperture radars,synonym
2150,enterprise resource planning,erp,synonym
2151,erp,enterprise resource planning,synonym
2152,erp,crm,sibling
2153,erp,dbmss,sibling
2154,erp,cmms,sibling
2155,private pilot licence,ppl,synonym
2156,ppl,private pilot licence,synonym
2157,aee,and energy,synonym
2158,initial coin offering,ico,synonym
2159,ico,initial coin offering,synonym
2160,unmanned air systems,uas,synonym
2161,unmanned air systems,uass,synonym
2162,collaborative decision making,cdm,synonym
2163,cdm,collaborative decision making,synonym
2164,cdm,client drive mapping,synonym
2165,advanced concept technology demonstration,actd,synonym
2166,actd,advanced concept technology demonstration,synonym
2167,pacific northwest national laboratory,pnnl,synonym
2168,pnnl,pacific northwest national laboratory,synonym
2169,contracting officer,co,synonym
2170,co,contracting officer,synonym
2171,co,mesa county,synonym
2172,aircraft structures nasa technical reports server,ntrs,synonym
2173,occupational employment statistics,oes,synonym
2174,oes,occupational employment statistics,synonym
2175,graphics processing units,gpus,synonym
2176,graphics processing units,gpu,synonym
2177,gpus,graphics processing units,synonym
2178,special operations forces,sof,synonym
2179,sof,special operations forces,synonym
2180,sof,special operation force,synonym
2181,north dakota state university,ndsu,synonym
2182,ndsu,north dakota state university,synonym
2183,private pilot certificate,single engine land,synonym
2184,single engine land,private pilot certificate,synonym
2185,single engine land,commercial pilot certificate,synonym
2186,humanitarian affairs,ocha,synonym
2187,ocha,humanitarian affairs,synonym
2188,nondestructive inspection,ndi,synonym
2189,ndi,nondestructive inspection,synonym
2190,ndi,emerging nondestructive inspection,synonym
2191,ndi,non destructive inspection,synonym
2192,faa civil aerospace medical institute,cami,synonym
2193,cami,faa civil aerospace medical institute,synonym
2194,cami,civil aerospace medical institute,synonym
2195,cami,civil aeromedical institute,synonym
2196,amazon web services,aws,synonym
2197,aws,amazon web services,synonym
2198,aws,ngc,sibling
2199,area control center,acc,synonym
2200,javascript object notation,json,synonym
2201,json,javascript object notation,synonym
2202,json,xml,sibling
2203,json,html,sibling
2204,json,odata,sibling
2205,international civil aviation organisation,icao,synonym
2206,national army,fardc,synonym
2207,fardc,national army,synonym
2208,defense threat reduction agency,dtra,synonym
2209,dtra,defense threat reduction agency,synonym
2210,turkish aerospace industries,tai,synonym
2211,tai,turkish aerospace industries,synonym
2212,remotely operated vehicle,rov,synonym
2213,rov,remotely operated vehicle,synonym
2214,rov,remotely operated vehicles,synonym
2215,commercial applications,real estate,ancestor
2216,commercial applications,precision agriculture,ancestor
2217,commercial applications,wildlife monitoring,ancestor
2218,commercial applications,package delivery,ancestor
2219,commercial applications,and energy,ancestor
2220,commercial applications,law enforcement,ancestor
2221,commercial applications,environmental monitoring,ancestor
2222,real estate,search and rescue,sibling
2223,real estate,motion picture,sibling
2224,virginia tech mid atlantic aviation partnership,maap,synonym
2225,single unmanned autonomous vehicles,uavs,synonym
2226,first person video,fpv,synonym
2227,joint agency coordination centre,jacc,synonym
2228,jacc,joint agency coordination centre,synonym
2229,comprise unmanned aircraft,ua,synonym
2230,certification of authorization,coa,synonym
2231,sbcs,single board computers,synonym
2232,differential gps,dgps,synonym
2233,dgps,differential gps,synonym
2234,dgps,differential global positioning system,synonym
2235,compact disk,cd,synonym
2236,cd,compact disk,synonym
2237,cd,compact disc,synonym
2238,cd,continuous deployment,synonym
2239,world wide lightning location network,wwlln,synonym
2240,wwlln,world wide lightning location network,synonym
2241,jtac,joint terminal attack controller,synonym
2242,jtac,joint tactical air controller,synonym
2243,joint terminal attack controller,jtac,synonym
2244,ministry of defence,mod,synonym
2245,mod,ministry of defence,synonym
2246,mod,flight mode,synonym
2247,lockheed martin,us,synonym
2248,lockheed martin,lmt,synonym
2249,lockheed martin,northrop grumman,sibling
2250,lockheed martin,general atomics,sibling
2251,special airworthiness certificate,sac,synonym
2252,sac,special airworthiness certificate,synonym
2253,national airport pavement test facility,naptf,synonym
2254,naptf,national airport pavement test facility,synonym
2255,event management,siem,synonym
2256,siem,event management,synonym
2257,cockroach swarm optimization,cso,synonym
2258,cso,cockroach swarm optimization,synonym
2259,canadian lightning detection network,cldn,synonym
2260,cldn,canadian lightning detection network,synonym
2261,major league baseball,mlb,synonym
2262,mlb,major league baseball,synonym
2263,field test borehole,ftb,synonym
2264,ftb,field test borehole,synonym
2265,return on invested capital,roic,synonym
2266,roic,return on invested capital,synonym
2267,nearby aircraft,airspace restrictions,sibling
2268,airspace restrictions,nearby aircraft,sibling
2269,digital converter,adc,synonym
2270,adc,digital converter,synonym
2271,analytical graphics13.17 nokia13.18 other companies,utm startup,synonym
2272,utm startup,analytical graphics13.17 nokia13.18 other companies,synonym
2273,real time operating system,rtos,synonym
2274,rtos,real time operating system,synonym
2275,rtos,operating system,synonym
2276,do not track,dnt,synonym
2277,dnt,do not track,synonym
2278,deployable system,ds,synonym
2279,ds,deployable system,synonym
2280,technology center,otc,synonym
2281,technology center,rtc,synonym
2282,otc,technology center,synonym
2283,magnetic field,milli tesla,synonym
2284,milli tesla,magnetic field,synonym
2285,boundary waters canoe area wilderness,bwcaw,synonym
2286,bwcaw,boundary waters canoe area wilderness,synonym
2287,commercial pilot certificate,single engine land,synonym
2288,vehicle intervention system,vis,synonym
2289,vis,vehicle intervention system,synonym
2290,unified modelling language,uml,synonym
2291,uml,unified modelling language,synonym
2292,uml,unified modeling language,synonym
2293,uml,visual tools,ancestor
2294,australian defence force,adf,synonym
2295,adf,australian defence force,synonym
2296,adf,desktop applications,synonym
2297,lightning detection and ranging,ldar,synonym
2298,ldar,lightning detection and ranging,synonym
2299,ldar,llp,sibling
2300,frequently asked questions,faqs,synonym
2301,frequently asked questions,faq,synonym
2302,faqs,frequently asked questions,synonym
2303,state department,faa,sibling
2304,underwater vehicles,uvs,synonym
2305,uvs,underwater vehicles,synonym
2306,return on investment,roi,synonym
2307,aspect oriented programming,aop,synonym
2308,aop,aspect oriented programming,synonym
2309,smart flight modes,auto takeoff,ancestor
2310,auto takeoff,auto return home,sibling
2311,deep borehole disposal,dbd,synonym
2312,dbd,deep borehole disposal,synonym
2313,compound annual growth rate,cagr,synonym
2314,cagr,compound annual growth rate,synonym
2315,apm,px4,sibling
2316,apm,ardupilot mega,synonym
2317,apm,data management,ancestor
2318,apm,application performance monitoring,synonym
2319,apm,parrot ar.drone,sibling
2320,apm,application portfolio management,synonym
2321,smart aircraft fastener evaluation,safe,synonym
2322,safe,smart aircraft fastener evaluation,synonym
2323,safe,sensor assisted flight envelope,synonym
2324,safe,scaled agile framework,synonym
2325,advanced traffic management system,atms,synonym
2326,atms,advanced traffic management system,synonym
2327,industry experts,ceos,ancestor
2328,industry experts,vps,ancestor
2329,ceos,vps,sibling
2330,human machine interface,hmi,synonym
2331,hmi,human machine interface,synonym
2332,flapping wings,fws,synonym
2333,fws,flapping wings,synonym
2334,heterogeneous system architecture,hsa,synonym
2335,hsa,heterogeneous system architecture,synonym
2336,automatic identification system,ais,synonym
2337,ais,automatic identification system,synonym
2338,ais,application identifiers,synonym
2339,ais,aerial imaging solutions,synonym
2340,ais,aeronautical information services,synonym
2341,ais,don leroi,synonym
2342,ais,seaway management,ancestor
2343,ais,airborne imaging spectrometer,synonym
2344,ais,panama canal,sibling
2345,forest service manual,fsm,synonym
2346,fsm,forest service manual,synonym
2347,fsm,fast steering mirror,synonym
2348,federal information processing standards,fips,synonym
2349,fips,federal information processing standards,synonym
2350,fips,aes,sibling
2351,fips,federal information processing standard,synonym
2352,fips,fully informed particle swarm,synonym
2353,environmental design tool,aedt,synonym
2354,fusion middleware,webutil configuration,synonym
2355,webutil configuration,fusion middleware,synonym
2356,adaptive optics,lgs ao,synonym
2357,lgs ao,adaptive optics,synonym
2358,field programmable gate arrays,fpgas,synonym
2359,field programmable gate arrays,fpga,synonym
2360,fpgas,field programmable gate arrays,synonym
2361,fpgas,heterogeneous platforms,ancestor
2362,of economic development,goed,synonym
2363,of economic development,oed,synonym
2364,goed,of economic development,synonym
2365,utms,unmanned traffic management systems,synonym
2366,utms,unmanned traffic management,synonym
2367,utms,uas traffic management systems,synonym
2368,unmanned traffic management systems,utms,synonym
2369,multiple missions,collective decision making,ancestor
2370,multiple missions,adaptive formation flying,ancestor
2371,multiple missions,aerial reconnaissance,ancestor
2372,multiple missions,vertical takeoff,ancestor
2373,multiple missions,fixed wing,ancestor
2374,software implementation,si,synonym
2375,si,software implementation,synonym
2376,si,staff instruction,synonym
2377,si,system integrator,synonym
2378,si,swarm intelligence,synonym
2379,certificated federal aviation administration,faa,synonym
2380,full motion video,fmv,synonym
2381,fmv,full motion video,synonym
2382,national football league,nfl,synonym
2383,nfl,national football league,synonym
2384,center of excellence,coe,synonym
2385,coe,center of excellence,synonym
2386,coe,concepts of employment,synonym
2387,differential global positioning system,dgps,synonym
2388,aerial photography,security patrols,sibling
2389,aerial photography,police surveillance,sibling
2390,aerial photography,wildlife conservation,sibling
2391,aerial photography,aerial video,sibling
2392,aerial photography,drone journalism,sibling
2393,aerial photography,ap,synonym
2394,aerial photography,aerial cinematography,sibling
2395,aerial photography,low level,sibling
2396,aerial photography,land surveying,sibling
2397,security patrols,aerial photography,sibling
2398,airman certification standards,acs,synonym
2399,acs,airman certification standards,synonym
2400,acs,attitude control system,synonym
2401,acs,aircraft control station,synonym
2402,acs,unmanned aircraft systems,synonym
2403,supply deliveries,aerial survey,sibling
2404,aerial survey,supply deliveries,sibling
2405,early implementation project,eip,synonym
2406,eip,early implementation project,synonym
2407,general aviation aircraft,uavs,sibling
2408,general aviation aircraft,crop dusters,ancestor
2409,general aviation aircraft,military jets,sibling
2410,hero5 black,karma grip,sibling
2411,karma grip,hero5 black,sibling
2412,interplanetary coronal mass ejections,icmes,synonym
2413,icmes,interplanetary coronal mass ejections,synonym
2414,humanitarian actors,monusco,sibling
2415,monusco,humanitarian actors,sibling
2416,national contact points,ncp,synonym
2417,ncp,national contact points,synonym
2418,flight information region,fir,synonym
2419,fir,flight information region,synonym
2420,airport improvement program,aip,synonym
2421,airport improvement program,uas,ancestor
2422,helicopter association international,hai,synonym
2423,hai,helicopter association international,synonym
2424,forward collision warning,fcw,synonym
2425,forward collision warning,blind spot detection,sibling
2426,forward collision warning,adaptive cruise control,sibling
2427,fcw,forward collision warning,synonym
2428,aircraft design nasa technical reports server,ntrs,synonym
2429,rtk gps,global positioning system,synonym
2430,rtk gps,imu,sibling
2431,communications intelligence,comint,synonym
2432,comint,communications intelligence,synonym
2433,lmt,lockheed martin,synonym
2434,tropical rainfall measuring mission,trmm,synonym
2435,trmm,tropical rainfall measuring mission,synonym
2436,trmm,tropical rain measuring mission,synonym
2437,special federal aviation regulation,sfar,synonym
2438,sfar,special federal aviation regulation,synonym
2439,usdot,department of transportation,synonym
2440,internet service provider,isp,synonym
2441,isp,internet service provider,synonym
2442,flying robots,artificially intelligent,sibling
2443,artificially intelligent,flying robots,sibling
2444,just in time,jit,synonym
2445,jit,just in time,synonym
2446,defense innovation unit experimental,diux,synonym
2447,diux,defense innovation unit experimental,synonym
2448,uas integration pilot program,ipp,synonym
2449,ipp,uas integration pilot program,synonym
2450,ipp,integration pilot program,synonym
2451,ipp,unmanned aircraft systems integration pilot program,synonym
2452,technology readiness level,trl,synonym
2453,trl,technology readiness level,synonym
2454,remote video terminal,rvt,synonym
2455,rvt,remote video terminal,synonym
2456,safety management systems,sms,synonym
2457,united electronic industries,uei,synonym
2458,uei,united electronic industries,synonym
2459,message passing interface,mpi,synonym
2460,mpi,message passing interface,synonym
2461,micro aerial vehicles,mavs,synonym
2462,micro aerial vehicles,mav,synonym
2463,camera drone,model bebop,synonym
2464,camera drone,flight safety,ancestor
2465,model bebop,camera drone,synonym
2466,electronic speed control,esc,synonym
2467,access management,iam,synonym
2468,iam,access management,synonym
2469,standardized field sobriety test,sfst,synonym
2470,sfst,standardized field sobriety test,synonym
2471,asian consumer insight,aci,synonym
2472,aci,asian consumer insight,synonym
2473,continuous integration,ci,synonym
2474,ci,continuous integration,synonym
2475,ci,convective initiation,synonym
2476,ci,li,sibling
2477,ci,computational intelligence,synonym
2478,lithium polymer,lipo,synonym
2479,lithium polymer,li po,synonym
2480,lipo,lithium polymer,synonym
2481,lipo,lithium ion polymer,synonym
2482,national security concerns,chemical facilities,ancestor
2483,federal enterprise architecture framework,feaf,synonym
2484,feaf,federal enterprise architecture framework,synonym
2485,time of flight,tof,synonym
2486,tof,time of flight,synonym
2487,vps,ceos,sibling
2488,vps,visual positioning system,synonym
2489,gulf cooperation council,gcc,synonym
2490,gcc,gulf cooperation council,synonym
2491,gcc,gnu compiler collection,synonym
2492,intelligent vehicle technology transfer,ivtt,synonym
2493,ivtt,intelligent vehicle technology transfer,synonym
2494,xml,json,sibling
2495,xml,xhtml,sibling
2496,xml,html,sibling
2497,xml,soap,ancestor
2498,xml,rss,synonym
2499,xml,wsdl,ancestor
2500,xml,sql,sibling
2501,xml,markup language,synonym
2502,xml,ldap,sibling
2503,xml,odbc,sibling
2504,on screen displays,osd,synonym
2505,department for transport,dft,synonym
2506,dft,department for transport,synonym
2507,dft,discrete fourier transform,synonym
2508,magnetic fabric,rock magnetism,sibling
2509,rock magnetism,magnetic fabric,sibling
2510,point of sale,pos,synonym
2511,pos,point of sale,synonym
2512,lightning imager,li,synonym
2513,li,lightning imager,synonym
2514,li,lightning initiation,synonym
2515,li,lumbar instability,synonym
2516,li,ci,sibling
2517,quality control,qc,synonym
2518,quality control,statistical process control,ancestor
2519,qc,quality control,synonym
2520,electronic funds transfer,eft,synonym
2521,eft,electronic funds transfer,synonym
2522,eft,ellipse fitting technique,synonym
2523,sterile insect technique,sit,synonym
2524,sit,sterile insect technique,synonym
2525,intelligent cruise control,icc,synonym
2526,icc,intelligent cruise control,synonym
2527,icc,international code council,synonym
2528,northrop grumman,us,synonym
2529,northrop grumman,swift engineering,synonym
2530,northrop grumman,noc,synonym
2531,northrop grumman,lockheed martin,sibling
2532,northrop grumman,general atomics,sibling
2533,unmanned underwater vehicles,uuv,synonym
2534,uuv,unmanned underwater vehicles,synonym
2535,uuv,unmanned underwater vehicle,synonym
2536,pilots association,aopa,synonym
2537,aopa,pilots association,synonym
2538,aopa,aia,sibling
2539,aopa,faa,sibling
2540,aopa,eaa,sibling
2541,hadm,uas,ancestor
2542,hadm,hawthorne advanced drone multiplex,synonym
2543,aviation authorities,private sector,sibling
2544,private sector,aviation authorities,sibling
2545,private sector,un,ancestor
2546,private sector,kdot,sibling
2547,private sector,civil aircraft,synonym
2548,digital signal processor,dsp,synonym
2549,dsp,digital signal processor,synonym
2550,dsp,digital signal processing,synonym
2551,digital versatile disk,dvd,synonym
2552,dvd,digital versatile disk,synonym
2553,xtreme military aircraft,unmanned aerial vehicles,synonym
2554,java virtual machine,jvm,synonym
2555,jvm,java virtual machine,synonym
2556,jvm,memory usage,ancestor
2557,jvm,thread activity,ancestor
2558,space launch system,sls,synonym
2559,sls,space launch system,synonym
2560,state owned enterprise,soe,synonym
2561,soe,state owned enterprise,synonym
2562,transponder based aircraft detection,tbad,synonym
2563,tbad,transponder based aircraft detection,synonym
2564,equatorial ionization anomaly,eia,synonym
2565,eia,equatorial ionization anomaly,synonym
2566,eia,energy information administration,synonym
2567,secure exchange solutions,ses,synonym
2568,electronic speed controllers,escs,synonym
2569,electronic speed controllers,esc,synonym
2570,escs,electronic speed controllers,synonym
2571,ground based detect and avoid,gbdaa,synonym
2572,gbdaa,ground based detect and avoid,synonym
2573,aia,soa,sibling
2574,aia,aopa,sibling
2575,eri@n,ntu,synonym
2576,file transfer protocol,ftp,synonym
2577,ftp,file transfer protocol,synonym
2578,ftp,field testing package,synonym
2579,drones lea police unmanned aerial vehicles,uav,synonym
2580,one system remote video terminal,osrvt,synonym
2581,osrvt,one system remote video terminal,synonym
2582,osrvt,one system remote video terminals,synonym
2583,karma drone bundle,karma grip,ancestor
2584,karma drone bundle,hero5 black,ancestor
2585,karma drone bundle,hero4,ancestor
2586,civil aerospace medical institute,cami,synonym
2587,heavy fuel engine,hfe,synonym
2588,hfe,heavy fuel engine,synonym
2589,assembled improvised explosive devices,ieds,synonym
2590,connected vehicles,cv,synonym
2591,cv,connected vehicles,synonym
2592,cv,connected vehicle,synonym
2593,cv,av,sibling
2594,cv,stovl,sibling
2595,cv,cape verde,synonym
2596,cv,ctol,sibling
2597,request for proposal,rfp,synonym
2598,rfp,request for proposal,synonym
2599,congressional budget office,cbo,synonym
2600,cbo,congressional budget office,synonym
2601,hawthorne advanced drone multiplex,hadm,synonym
2602,aircraft protection system,aps,synonym
2603,aps,aircraft protection system,synonym
2604,aps,air plasma spray,synonym
2605,airworthiness directive,ad,synonym
2606,vision processing unit,vpu,synonym
2607,vpu,vision processing unit,synonym
2608,north atlantic treaty organisation,nato,synonym
2609,remotely piloted aviation systems,rpas,synonym
2610,fulfillment by amazon,fba,synonym
2611,fba,fulfillment by amazon,synonym
2612,fba,fulfilment by amazon,synonym
2613,application programming interfaces,api,synonym
2614,application programming interfaces,apis,synonym
2615,application programming interfaces,software developer,sibling
2616,aviation applied technology directorate,aatd,synonym
2617,aatd,aviation applied technology directorate,synonym
2618,video compression,image processing,sibling
2619,image processing,video compression,sibling
2620,image processing,feature extraction,sibling
2621,image processing,iot,sibling
2622,snow water equivalent,swe,synonym
2623,swe,snow water equivalent,synonym
2624,swe,sensor web enablement,synonym
2625,keck observatory,wmko,synonym
2626,wmko,keck observatory,synonym
2627,java development kit,jdk,synonym
2628,jdk,java development kit,synonym
2629,virtual desktop infrastructure,vdi,synonym
2630,vdi,virtual desktop infrastructure,synonym
2631,general data protection regulation,gdpr,synonym
2632,gdpr,general data protection regulation,synonym
2633,gdpr,protection regulation,synonym
2634,applied sciences,muas,synonym
2635,muas,applied sciences,synonym
2636,vr,virtual reality,synonym
2637,vr,vfr,synonym
2638,virtual reality,vr,synonym
2639,virtual reality,augmented reality,sibling
2640,virtual reality,laser scanners,sibling
2641,virtual reality,drone technology,sibling
2642,nevada advanced autonomous systems innovation center,naasic,synonym
2643,naasic,nevada advanced autonomous systems innovation center,synonym
2644,naasic,nevada advanced autonomous systems innovation centre,synonym
2645,integrated vehicle based safety systems,ivbss,synonym
2646,ivbss,integrated vehicle based safety systems,synonym
2647,ivbss,based safety systems,synonym
2648,customer relationship management,crm,synonym
2649,crm,customer relationship management,synonym
2650,crm,erp,sibling
2651,crm,coordinated ramp metering,synonym
2652,crm,resource management,synonym
2653,crm,enterprise solutions,ancestor
2654,crm,ecc,sibling
2655,crm,nasa common research model,synonym
2656,dgac,civil aviation,synonym
2657,dgac,civil aviation authorities,synonym
2658,dgac,aeronáutica civil,synonym
2659,fighter aircraft,attack helicopter,sibling
2660,attack helicopter,fighter aircraft,sibling
2661,surface traffic management,stm,synonym
2662,stm,surface traffic management,synonym
2663,controlled impact demonstration,cid,synonym
2664,cid,controlled impact demonstration,synonym
2665,unsaturated zone,uz,synonym
2666,uz,unsaturated zone,synonym
2667,air navigation service provider,ansp,synonym
2668,ansp,air navigation service provider,synonym
2669,ansp,air navigation service providers,synonym
2670,aviation safety inspector airport access transportation,continued,synonym
2671,software as a service,saas,synonym
2672,saas,software as a service,synonym
2673,slot conference,sc,synonym
2674,sc,slot conference,synonym
2675,osds,telemetry radios,sibling
2676,telemetry radios,osds,sibling
2677,latest news,upcoming events,sibling
2678,upcoming events,latest news,sibling
2679,online retail,fast food,sibling
2680,fast food,online retail,sibling
2681,memory usage,garbage collection,sibling
2682,memory usage,cpu usage,sibling
2683,memory usage,thread activity,sibling
2684,memory usage,cpu utilization,sibling
2685,garbage collection,memory usage,sibling
2686,garbage collection,gc,synonym
2687,common high availability,fault tolerant,synonym
2688,fault tolerant,common high availability,synonym
2689,fault tolerant,ft,synonym
2690,fault tolerant,load balanced,sibling
2691,internet information services,iis,synonym
2692,iis,internet information services,synonym
2693,iis,internet information server,synonym
2694,automated vehicles,cavs,synonym
2695,automated vehicles,av,synonym
2696,cavs,automated vehicles,synonym
2697,cavs,taas,sibling
2698,cavs,connected autonomous vehicles,synonym
2699,java runtime environment,jre,synonym
2700,jre,java runtime environment,synonym
2701,autonomous aerial cargo utility system,aacus,synonym
2702,aacus,autonomous aerial cargo utility system,synonym
2703,global positioning systems,gps,synonym
2704,one system remote video terminals,osrvt,synonym
2705,national airsace system,nas,synonym
2706,geothermal heat pumps,ghp,synonym
2707,ghp,geothermal heat pumps,synonym
2708,fast lightweight autonomy,fla,synonym
2709,fla,fast lightweight autonomy,synonym
2710,international technology alliance,ita,synonym
2711,ita,international technology alliance,synonym
2712,mobile station,ms,synonym
2713,ms,mobile station,synonym
2714,ms,dev environments,ancestor
2715,boundary layer,lowest mile,synonym
2716,boundary layer,circulation control,sibling
2717,lowest mile,boundary layer,synonym
2718,pvt,master meter,sibling
2719,master meter,pvt,sibling
2720,raster analysis,spatial analysis,sibling
2721,micro uav,mav,synonym
2722,micro uav,unmanned aircraft vehicle,synonym
2723,camera settings,exposure compensation,ancestor
2724,camera settings,shutter speed,ancestor
2725,camera settings,iso,ancestor
2726,exposure compensation,shutter speed,sibling
2727,exposure compensation,iso,sibling
2728,long endurance broad area maritime surveillance,bams,synonym
2729,iterative closest point,icp,synonym
2730,icp,iterative closest point,synonym
2731,icp,integrated core processor,synonym
2732,icp,inventory control point,synonym
2733,vozdushno desantnye voyska,vdv,synonym
2734,vdv,vozdushno desantnye voyska,synonym
2735,hungry roach infestation optimization,hrio,synonym
2736,hrio,hungry roach infestation optimization,synonym
2737,hierarchical particle swarm optimization,hpso,synonym
2738,hpso,hierarchical particle swarm optimization,synonym
2739,challenging conditions,urban environments,ancestor
2740,protected communications,advanced autonomy,sibling
2741,advanced autonomy,protected communications,sibling
2742,mca6,multiple camera array,synonym
2743,multiple camera array,mca6,synonym
2744,bit error rate,ber,synonym
2745,ber,bit error rate,synonym
2746,aviation proceedings,department of transportation,synonym
2747,laser radar,lidar,synonym
2748,lidar,laser radar,synonym
2749,lidar,satellite images,sibling
2750,lidar,thermal imaging cameras,sibling
2751,lidar,laser imaging detection and ranging,synonym
2752,unmanned vehicle,toy boat,synonym
2753,toy boat,unmanned vehicle,synonym
2754,control systems,safety critical,synonym
2755,safety critical,control systems,synonym
2756,safety critical,flight control,sibling
2757,safety critical,full authority digital electronic control,ancestor
2758,safety critical,mission critical,sibling
2759,unmanned maritime systems,ums,synonym
2760,ums,unmanned maritime systems,synonym
2761,ums,uas universal mission simulator,synonym
2762,ums,universal mission simulators,synonym
2763,ums,unmanned systems,synonym
2764,ums,universal mission simulator,synonym
2765,security distance formula,sdf,synonym
2766,sdf,security distance formula,synonym
2767,international monitoring system,ims,synonym
2768,ims,international monitoring system,synonym
2769,ims,information management system,synonym
2770,ims,intelligent munitions system,synonym
2771,desktop pcs,ground station,sibling
2772,ground station,desktop pcs,sibling
2773,ground station,gs,synonym
2774,light emitting diode,led,synonym
2775,led,light emitting diode,synonym
2776,electro optic,eo,synonym
2777,virtual file system,vfs,synonym
2778,vfs,virtual file system,synonym
2779,pattern oriented software architecture,posa,synonym
2780,posa,pattern oriented software architecture,synonym
2781,psi,program specific information,synonym
2782,psi,physical sciences,synonym
2783,program specific information,psi,synonym
2784,traffic collision avoidance systems,tcas,synonym
2785,tcas,traffic collision avoidance systems,synonym
2786,tcas,traffic collision avoidance system,synonym
2787,tcas,avoidance systems,synonym
2788,voltage differencing transconductance amplifiers,vdtas,synonym
2789,vdtas,voltage differencing transconductance amplifiers,synonym
2790,product descriptions,contact information,ancestor
2791,artificial potential field,apf,synonym
2792,apf,artificial potential field,synonym
2793,apf,annealed particle filter,synonym
2794,universal asynchronous receiver transmitter,uart,synonym
2795,uart,universal asynchronous receiver transmitter,synonym
2796,uart,spi,sibling
2797,uart,serial telemetry,synonym
2798,uart,i2c,sibling
2799,chaotic neural network,cnn,synonym
2800,cnn,chaotic neural network,synonym
2801,cnn,bbc,sibling
2802,cnn,financial times,sibling
2803,cnn,convolutional neural network,synonym
2804,cnn,foreign policy,sibling
2805,cnn,gtri,sibling
2806,artificial neural networks,anns,synonym
2807,artificial neural networks,fuzzy logic,sibling
2808,anns,artificial neural networks,synonym
2809,loss of carrier,loc,synonym
2810,loc,loss of carrier,synonym
2811,loc,loss of control,synonym
2812,naval warfare,spawar,synonym
