RELATION,LEFTTERM,RIGHTTERM,COUNT
synonym,III,HD,2
synonym,zanzibar mapping initiative,ZMI,2
sibling,farmland surveys,infrastructure inspections,2
synonym,digital acquisition system,DAS,2
synonym,national science foundation,NSF,2
synonym,toxic industrial chemicals,TICs,2
synonym,anterior cruciate ligament,ACL,2
synonym,free space optical,FSO,2
synonym,national press photographers association,NPPA,2
synonym,integrated development environment,IDE,2
synonym,blended wing body uninhabited aerial vehicle,UAV,2
sibling,railway inspections,video surveillance,2
synonym,surface vehicles,USVs,2
synonym,universal traffic management,UTM,2
synonym,computational fluid dynamics,CFD,2
synonym,principal component analysis,PCA,2
ancestor,cell reselection,neighbor cell,2
synonym,optical parametric oscillator,OPO,2
synonym,built in test,BIT,2
synonym,unoccupied aircraft systems,UAS,2
synonym,windows presentation foundation,WPF,2
synonym,cloud condensation nuclei,CCN,2
sibling,geological surveying,search and rescue,2
synonym,air vehicles,UAVs,2
synonym,insight aero pars aerobot aerodreams aeroelectronica,AEL,2
synonym,FAR,federal aviation regulations,2
synonym,aviation weather center,AWC,2
sibling,general aviation,air carrier,2
synonym,MEMS,microelectromechanical systems,2
sibling,border patrol,police departments,2
synonym,commercials pilot licence,CPL,2
synonym,organization designation authorization,ODA,2
synonym,air vehicle,UAV,2
synonym,web service,WS,2
synonym,MVVM,model view viewmodel,2
synonym,cyber power systems,USA,2
sibling,early stage,medium sized,2
synonym,technical advisory council,TAC,2
synonym,mobile servicing system,MSS,2
synonym,insect pest control laboratory,IPCL,2
sibling,autonomous cars,automatic braking,2
synonym,graphical interface,oem fmw,2
ancestor,improvised threats,improvised explosive,2
synonym,small tactical unmanned aircraft system,STUAS,2
sibling,RNO,MEV,2
synonym,continental united states,CONUS,2
synonym,future combat system,FCS,2
synonym,virtual private network,VPN,2
synonym,irkut irkut corporation israel aerospace industries,IAI,2
synonym,ground demonstration nasa technical reports server,NTRS,2
synonym,UASs,unmanned aerial systems,2
synonym,fly by wire a,FBWA,2
synonym,nuclear power plants,NPPs,2
ancestor,maintenance alerts,sensor data,2
synonym,UTM,uas traffic management,2
ancestor,civil applications,environmental monitoring,2
synonym,autonomous dynamically optimized periodic transmission,ADOPT,2
synonym,engineering support center,ESC,2
synonym,florida statute,FS,2
ancestor,international security,border security,2
sibling,LIDAR,satellite images,2
synonym,control system,RCS,2
synonym,integrated vehicle ground vibration test,IVGVT,2
synonym,international runway friction index,IRFI,2
synonym,nano air vehicle,NAV,2
sibling,financial times,foreign policy,2
synonym,flight service district offices,nation wide,2
sibling,FATA,NWFP,2
synonym,uas traffic management systems,UTM,2
sibling,data gathering,image acquisition,2
synonym,controlled airspace,PDF,2
synonym,lightning location finder,LLF,2
synonym,joint ambient breeze tunnel,JABT,2
synonym,dynamic application security testing,DAST,2
sibling,straight leg raise,knee extension,2
sibling,nuair alliance,empire state development,2
synonym,video cameras,smartphones acceptable,2
synonym,west virginia university,WVU,2
synonym,actuator failure accommodation,AFA,2
sibling,regulatory compliance,risk analysis,2
synonym,distributed processing,iso rm odp,2
synonym,neural network,NN,2
synonym,heart rate monitor,HRM,2
synonym,national park service,NPS,2
synonym,adaptive sliding mode control,ASMC,2
sibling,ISO,exposure compensation,2
synonym,android tactical assault kit,ATAK,2
synonym,unmanned surface vehicles,USVs,2
synonym,uav solutions,US,2
synonym,military intelligence company,MICO,2
synonym,fast steering mirror,FSM,2
synonym,ocean ridges nasa astrophysics data system,ADS,2
ancestor,syracuse university,NASA,2
synonym,learning management system,LMS,2
synonym,short channel effects,SCEs,2
synonym,uas traffic management pilot program,UPP,2
synonym,world gold council,WGC,2
synonym,training extension course,TEC,2
synonym,supercooled large droplets,SLD,2
synonym,cooperative vehicular networking,CVN,2
synonym,OWASP,open web application security project,2
synonym,security industry association,SIA,2
synonym,counter terrorism unit,CTU,2
synonym,critical infrastructure nasa technical reports server,NTRS,2
synonym,authenticity check,AC,2
synonym,large scale topographical mapping,LSTM,2
ancestor,UAVs,small uavs,2
ancestor,4k video,dji inspire,2
synonym,jittering mosaic image processing,JMIP,2
synonym,small unmanned aerial vehicles,SUAV,2
sibling,magma chamber,magma ascent,2
sibling,anomaly detection,NDVI,2
synonym,special flight operation certificate,SFOC,2
synonym,RPAS,remotely piloted aircraft system,2
synonym,air force,USAF,2
ancestor,FAA,industry partners,2
ancestor,crew members,visual observers,2
ancestor,private sector,UN,2
synonym,program executive office,PEO,2
synonym,cheju abc plume asian monsoon experiment,CAPMEX,2
synonym,venus nasa technical reports server,NTRS,2
synonym,attitude control system,ACS,2
synonym,root mean squared error,RMSE,2
synonym,feature automatic emergency braking,AEB,2
synonym,commission us special operations command,USSOCOM,2
synonym,civilian authorities,DSCA,2
synonym,statement of work,SOW,2
synonym,network file system,NFS,2
synonym,regulatory guide,RG,2
ancestor,electromagnetic interference,frequency disruptions,2
synonym,flight control box,FCB,2
sibling,traffic management,bridge inspection,2
synonym,control monitor unit,CMU,2
synonym,magnetic resonance elastography,MRE,2
synonym,dugway proving ground,DPG,2
synonym,small tactical uas,STUAS,2
synonym,partial differential equation,PDE,2
synonym,time division multiplexing,TDM,2
sibling,drone deliveries,precision agriculture,2
synonym,structural health monitoring,SHM,2
sibling,BBC,foreign policy,2
synonym,general relativity,GR,2
synonym,UGV,unmanned ground vehicles,2
synonym,information architecture,IA,2
synonym,differential optical absorption spectroscopy,DOAS,2
synonym,staff instruction,SI,2
synonym,scripting language processor,SLP,2
synonym,TUBE,FOREGROUND,2
synonym,faa flight standards district office,FSDO,2
synonym,universal control system,UCS,2
ancestor,portable computing devices,smart phones,2
synonym,fault tolerant flight control system,FTFCS,2
synonym,defence procurement agency,DGA,2
synonym,check points,CPs,2
sibling,fuzzy logic,neural network,2
synonym,symposium nasa technical reports server,NTRS,2
synonym,accenture federal services,AFS,2
synonym,faa perspective nasa technical reports server,NTRS,2
synonym,performance based logistics,PBL,2
synonym,national research council,NRC,2
synonym,north carolina state highway patrol,NCSHP,2
sibling,infrastructure monitoring,precision agriculture,2
synonym,reflectance unmanned aerial vehicle,UAV,2
synonym,binary robust invariant scalable keypoints,BRISK,2
synonym,japan aeronautic association,JAA,2
synonym,internal crew training system,ICTS,2
ancestor,image analysis,SAM,2
synonym,methane reforming rate,MRR,2
synonym,nationally recognized testing laboratory,NRTL,2
synonym,north china craton,NCC,2
synonym,sliding mode control,SMC,2
synonym,national training center,NTC,2
synonym,choppers chengdu aircraft industry corporation,CAC,2
synonym,spacecraft control language,SCL,2
synonym,ground control points,ground truth,2
synonym,parasitic mites,varroa destructor,2
synonym,package delivery drone unmanned aerial systems,UAS,2
synonym,quadrature phase shift keying,QPSK,2
synonym,common name,CN,2
synonym,vdos global,US,2
synonym,internet assigned numbers authority,IANA,2
synonym,rss measurements nasa astrophysics data system,ADS,2
synonym,bus trans msg,flow mo1,2
ancestor,VM,garbage collection,2
synonym,LTE,long term evolution,2
synonym,unmanned systems research institute,DU2SRI,2
synonym,adopting unmanned aerial systems,UAS,2
synonym,civil aeromedical institute,CAMI,2
synonym,software communications architecture,SCA,2
synonym,internation space station,ISS,2
synonym,southern africa,CUAASA,2
synonym,security requirements guide,SRG,2
synonym,optical automatic car identification,OACI,2
sibling,underwater photography,large format,2
synonym,model predictive control,MPC,2
synonym,pakistan aeronautical complex paramount group,ATE,2
sibling,force protection,perimeter security,2
synonym,autonomous drone systems,ADS,2
synonym,remote split operations,RSO,2
sibling,project management,business intelligence,2
synonym,short range,SR,2
sibling,business development,government relations,2
synonym,drone manufacturers alliance europe,DMAE,2
synonym,national full scale aerodynamics complex,NFAC,2
ancestor,private companies,project wing,2
sibling,strong technical,R&D,2
synonym,small unmanned aerial vehicles,SUAVs,2
synonym,automatic scheduling and planning,ASAP,2
synonym,SVR,inversion svr,2
sibling,remote sensing,radiative budget,2
sibling,NDVI,SAM,2
synonym,pillows nasa technical reports server,NTRS,2
ancestor,camera settings,ISO,2
synonym,scale uavs nasa astrophysics data system,ADS,2
synonym,management console,HAL,2
synonym,read more drone delivery canada,DDC,2
synonym,GCS,ground control station,2
synonym,gust wind formula,GWF,2
synonym,kain fritsch,KF,2
sibling,forested areas,narrow paths,2
synonym,multimedia home platform,MHP,2
synonym,line replaceable unit,LRU,2
synonym,catholic relief services,CRS,2
sibling,QGroundControl,MAVLink,2
synonym,acquisition management system,AMS,2
sibling,package deliveries,infrastructure inspections,2
synonym,radio controlled,RC,2
synonym,risk mitigation maneuvers,RMM,2
synonym,digital terrain models,DTM,2
synonym,common avionics architecture system,CAAS,2
synonym,air traffic controllers,ATC,2
synonym,unmanned combat aerial vehicle,UCAV,2
ancestor,uas operators,private sector stakeholders,2
sibling,search terms stats,referring urls,2
synonym,standards and recommended practices,SARPs,2
synonym,unmanned aerial vehicles,UAS,2
ancestor,FAA,government entities,2
synonym,ground level 1,300 feet,2
synonym,cooperative vehicle intersection control,CVIC,2
synonym,faa airworthiness assurance ndi validation center,AANC,2
synonym,controlled flight into terrain,CFIT,2
synonym,post entry amendment,PEA,2
synonym,ambassador bridge border crossing system,ABBCS,2
synonym,integrated technology demonstrations,ITDs,2
synonym,naval undersea warfare center,NUWC,2
synonym,direct mapping solution,DMS,2
ancestor,commercial usage,risk analysis,2
synonym,standard operating procedure,SOP,2
synonym,remote controlled,RC,2
synonym,coordinated ramp metering,CRM,2
synonym,lightning initiation,LI,2
synonym,model grant agreements,MGA,2
synonym,royal air force,RAF,2
synonym,maximum take off weight,MTOW,2
synonym,unmanned combat air vehicle,UCAV,2
synonym,DCA,air transport division,2
synonym,inspection authorization,IA,2
ancestor,manned aircraft,fixed wing aircraft,2
synonym,improvised explosive device,IED,2
synonym,ita data acquisition,DAQ,2
synonym,vtol uavs nasa astrophysics data system,ADS,2
synonym,special use airspace,SUA,2
synonym,ground control lines,GCLs,2
synonym,eastern range,ER,2
ancestor,oil spill,natural resources,2
synonym,compact disc,CD,2
synonym,thermal imager,TI,2
synonym,introducing soda nasa technical reports server,NTRS,2
synonym,transport canada,TC,2
synonym,astronomical units,AU,2
synonym,signal intelligence,SIGINT,2
synonym,electric ducted fans,EDF,2
sibling,professional grade,DIY,2
ancestor,GDOT,inspecting bridges,2
synonym,model driven engineering,MDE,2
synonym,composite materials nasa technical reports server,NTRS,2
synonym,electric vehicle,EV,2
synonym,field testing package,FTP,2
synonym,federal data corporation,FDC,2
synonym,unmanned little bird,ULB,2
synonym,lightning risk assessment model,LRAM,2
synonym,robotic systems,UGVs,2
synonym,automated uav mission system,AUMS,2
ancestor,avionics systems,flight control systems,2
synonym,cosmic microwave background,CMB,2
synonym,common data link,CDL,2
sibling,civil rights,civil liberties,2
synonym,micro electro mechanical,MEM,2
synonym,limited aviation weather reporting stations,LAWRS,2
synonym,complex event processing,CEP,2
synonym,standing review board,SRB,2
synonym,internet information server,IIS,2
synonym,unmanned aircraft,acas xu,2
sibling,syracuse university,empire state development,2
synonym,springfield beckley municipal airport,KSGH,2
synonym,small uas rating,small drone license,2
synonym,public key infrastructure,PKI,2
sibling,FPV,live streaming,2
ancestor,video streaming,video feeds,2
sibling,RC,quad copter,2
synonym,certified architect,open ca,2
sibling,common criteria,DISA,2
synonym,membrane electrode assembly,MEA,2
synonym,fbi criminal justice information services,CJIS,2
synonym,remote procedure call,RPC,2
synonym,one system ground control station,OSGCS,2
sibling,FIPS,AES,2
synonym,local binary pattern,LBP,2
synonym,global assembly cache,GAC,2
synonym,medlineplus thunderstorms space weather sun,ultraviolet radiation,2
synonym,auds brochure,PDF,2
synonym,data management plan,DMP,2
sibling,drone brood,multiple infestation,2
sibling,SAR,UAV,2
synonym,micro unmanned aerial vehicles,micro uavs,2
synonym,emergency communication system,ECS,2
synonym,personal digital assistant,PDA,2
synonym,federal security service,FSB,2
synonym,control augmentation system,CAS,2
ancestor,portable storage,hard drives,2
sibling,SDA,SCL,2
synonym,autonomous unmanned aerial vehicles,UAVs,2
synonym,support vector regression,SVR,2
synonym,full flight simulator,FFS,2
ancestor,united states,law enforcement,2
ancestor,airspace management,sense and avoid,2
synonym,ROI,region of interest,2
synonym,digital video broadcasting,DVB,2
synonym,north dakota university system,NDUS,2
synonym,plain old clr objects,POCO,2
synonym,integrated path dial,IPDA,2
sibling,uas operations,UAV,2
synonym,equatorial electrojet,EEJ,2
synonym,herbert hoover dike,HHD,2
ancestor,public entities,law enforcement agencies,2
synonym,federal acquisition regulation,FAR,2
synonym,automated demand response,auto dr,2
synonym,SA,situational awareness,2
synonym,query store catalog views,transact sql,2
synonym,raytheon company,US,2
ancestor,image analysis,anomaly detection,2
synonym,bovine serum albumin,BSA,2
synonym,space shuttle nasa technical reports server,NTRS,2
synonym,medium range,MR,2
synonym,cold climate heat pump,CCHP,2
synonym,sub continental lithospheric mantle,SCLM,2
synonym,runtime application self protection,RASP,2
synonym,whipple detachment fault,WDF,2
ancestor,simplest tasks,route reconnaissance,2
synonym,thermal imaging,IR,2
synonym,RFI,request for information,2
sibling,data acquisition,control system,2
synonym,npm package,UMD,2
synonym,intelligent vehicles,IVs,2
synonym,business information modeling,BIM,2
synonym,unmanned aerospace vehicle,UAV,2
synonym,improved cockroach swarm optimization,ICSO,2
synonym,offensive swarm enabled tactics,OFFSET,2
synonym,square miles,"100,000 km2",2
synonym,remotely piloted aircrafts,RPAs,2
synonym,markov chain monte carlo,MCMC,2
synonym,web mapping service,WMS,2
synonym,system integrator,SI,2
synonym,pilot in command,PIC,2
ancestor,US,western countries,2
synonym,peak ground accelerations,PGAs,2
synonym,domain specific software architecture,DSSA,2
synonym,korean air korean air aerospace division,ASD,2
synonym,extended endurance,stalker xe,2
sibling,inspecting cell towers,wind turbines,2
synonym,intelligent mission management,IMM,2
synonym,landentwicklung baden württemberg,lgl bw,2
synonym,GIS,geographic information system,2
synonym,java management extensions,JMX,2
ancestor,UAS,unmanned aircrafts,2
synonym,standard terminal automation replacement system,STARS,2
synonym,quadratic program,QP,2
synonym,multi view stereo,MVS,2
sibling,SAMs,radar detection,2
synonym,airspace databases nasa technical reports server,NTRS,2
synonym,ALI,air land integration,2
synonym,national aviation authority,NAA,2
synonym,ground source heat pumps,GSHP,2
synonym,protective breathing equipment,PBE,2
synonym,unscented kalman filter,UKF,2
sibling,CNN,foreign policy,2
synonym,sioux falls,USF,2
synonym,ready to fly,gopro owner,2
synonym,small commercial drone unmanned aerial systems,UAS,2
synonym,ship based tactically exploited reconnaissance node,TERN,2
synonym,exploration systems development,ESD,2
synonym,ground vehicle nasa technical reports server,NTRS,2
synonym,aka remotely piloted aircraft,RPA,2
synonym,close range,CR,2
synonym,model view controller,MVC,2
sibling,TTL,CMOS,2
synonym,homeland defense,HD,2
synonym,receiver autonomous integrity monitoring,RAIM,2
synonym,ice protection systems,IPS,2
sibling,vehicle tracking,route reconnaissance,2
sibling,low intensity conflicts,urban warfare,2
synonym,red green blue,RGB,2
synonym,modular electronics compartment,MEC,2
synonym,wireless sensor network,WSN,2
synonym,distributed temperature sensing,DTS,2
ancestor,GIS,spatial analysis,2
synonym,xi'an aisheng,ASN,2
sibling,emergency response,geospatial information systems,2
sibling,infrastructure inspections,search and rescue,2
sibling,CT,COIN,2
synonym,direction of arrival,DOA,2
synonym,government printing office,GPO,2
synonym,DTM,digital terrain model,2
synonym,army rapid capabilities office,RCO,2
synonym,electronic control unit,ECU,2
synonym,electromagnetic effects harmonization working group,EEHWG,2
synonym,capital area innovative farmers,CAIF,2
synonym,japan schedule coordination,JSC,2
synonym,health information exchanges,HIEs,2
synonym,tucson international airport,TUS,2
synonym,intensive observation periods,IOPs,2
synonym,connected vehicle,CV,2
sibling,deep learning,neural networks,2
synonym,starting point,home point,2
synonym,naval surface warfare center,NSWC,2
synonym,aeronautical knowledge test,AKT,2
synonym,avoidance systems,TCAS,2
synonym,joint direct attack munition,JDAM,2
synonym,department of transportation federal aviation administration,FAA,2
synonym,static application security testing,SAST,2
sibling,multi spectral cameras,stereo cameras,2
synonym,royal canadian air force,RCAF,2
synonym,RTK,precision relnav,2
synonym,backup ram,SRAM,2
synonym,pseudomonas avellanae,Pav,2
synonym,digital terrestrial television,DTT,1
sibling,package deliveries,beyond line of sight,1
synonym,joint test,JT,1
synonym,certified flight instructor,CFI,1
sibling,air force,army intelligence,1
ancestor,android studio,developer tools,1
synonym,lunar water resources demonstration,LWRD,1
sibling,industry leaders,forward thinking,1
synonym,keck interferometer,KI,1
sibling,industry insiders,UAV,1
synonym,straight leg raise,SLR,1
sibling,current injection,environmental testing,1
ancestor,airframe structural components,advanced composite materials,1
synonym,shuttle space vehicle,SSV,1
ancestor,defense contractors,lockheed martin,1
synonym,characteristic curves,ROC,1
synonym,visual positioning system,VPS,1
synonym,drop size distribution,DSD,1
synonym,chip scale atomic clock,CSAC,1
sibling,aerial photography,police surveillance,1
ancestor,machine learning,modern workloads,1
sibling,4k camera,intel realsense collision avoidance,1
synonym,qatar national research fund,QNRF,1
synonym,linear fractional transformation,LFT,1
ancestor,non destructive inspection,ultrasonic inspection,1
synonym,silicon on insulator,SOI,1
ancestor,drone makers,DJI,1
synonym,internet content rating association,ICRA,1
synonym,mail f1 f2,LIST,1
synonym,most significant bit,MSB,1
ancestor,ROS,sensor data,1
synonym,global air navigation plan,GANP,1
sibling,gray seals,YOY,1
synonym,fiscal years,FY,1
synonym,segmentation fault,core dumped,1
ancestor,advanced technologies,artificial intelligence,1
sibling,SOC,ISO,1
sibling,search and rescue,border patrol,1
synonym,society of aerial cinematography,SOAC,1
synonym,transaction processing,TP,1
synonym,model view update,MVU,1
synonym,better world fund,BWF,1
synonym,memorandum of understanding,MOU,1
synonym,solid state lighting,SSL,1
synonym,treasury enterprise architecture framework,TEAF,1
synonym,information exchange,autonomous drones,1
sibling,mobile phones,text messaging,1
sibling,UAS,UAV,1
ancestor,JVM,memory usage,1
synonym,acoustic doppler current profiler,ADCP,1
synonym,mesoscale lightning experiment,MLE,1
synonym,south china block,SCB,1
sibling,JMS,WCF,1
sibling,small drones,model aircraft,1
synonym,partial dynamical symmetry,PDS,1
ancestor,XML,SOAP,1
synonym,most significant byte,MSB,1
synonym,electric optical,EO,1
synonym,urban beat cop,UBC,1
synonym,sudbury igneous complex,SIC,1
synonym,scanning electron microscopy,SEM,1
ancestor,alert rule,general characteristics,1
sibling,LANs,WANs,1
synonym,idaho national laboratory,INL,1
synonym,electronic ldentification tag,ElT,1
synonym,ACTD,advanced concept technology demonstration,1
synonym,federal aviation adminstration,FAA,1
synonym,pseudotachylitic breccia,PTB,1
sibling,durable frame,headless mode,1
synonym,critical success index,CSI,1
synonym,dryden flight research center,DFRC,1
synonym,ground sensor management unit,GSMU,1
sibling,command line interface,xml based,1
sibling,disease monitoring,precision spraying,1
synonym,auxiliary power unit,APU,1
synonym,presentation tier,web server,1
synonym,administrative law judge,ALJ,1
synonym,tectonic earthquake swarms,TES,1
synonym,maximal steady state power,MSSP,1
sibling,agricultural surveys,search and rescue,1
sibling,MEMS,smart materials,1
synonym,airborne early warning,AEW,1
synonym,butcher ridge igneous complex,BRIC,1
ancestor,safety oversight,small uas,1
synonym,maintenance resource management,MRM,1
synonym,type certificate data sheet,TCDS,1
synonym,instrument proficiency check,IPC,1
synonym,normal difference vegetation index,NDVI,1
ancestor,JMS,ibm websphere,1
synonym,general civil aviation authority,GCAA,1
synonym,battery elimination circuit,BEC,1
sibling,al qaeda,ISIS,1
synonym,floating car data,FCD,1
ancestor,LAANC,technology enhancements,1
sibling,news feeds,content syndication,1
synonym,operating systems,OSs,1
synonym,advisory rulemaking committee,ARC,1
synonym,technical work plan,TWP,1
synonym,civil engineers,ICE,1
synonym,vapor injection,VI,1
sibling,strike slip,reverse fault,1
sibling,augmented reality,virtual reality,1
synonym,message oriented middleware,MoM,1
synonym,decentralized model predictive control,DMPC,1
sibling,dslr cameras,propeller guards,1
synonym,field operations device drivers,FODDs,1
ancestor,FAA,LAANC,1
synonym,micro uavs,unmanned aerial vehicles,1
sibling,crop scouting,disease monitoring,1
synonym,switchblade suav,small unmanned aircraft system,1
sibling,toy guns,remote controlled,1
synonym,intelligent aerospace radio team,IART,1
synonym,system on chip,SoC,1
synonym,technology exploration unit,TEU,1
sibling,bituminous coal,natural gas,1
sibling,federal regulations,privacy concerns,1
sibling,reduce risk,lower costs,1
synonym,aircraft landing dynamics facility,ALDF,1
synonym,independence transportation center,ITC,1
synonym,computed tomography,CT,1
synonym,maximum passive extension,MPE,1
sibling,DBMSs,ERP,1
synonym,unmanned aircraft,model aircraft,1
sibling,risk management,program management,1
synonym,mobile network operator,MNO,1
synonym,humanitarian policy group,HPG,1
synonym,agile model driven development,AMDD,1
synonym,application program interface,API,1
sibling,dji spark,wingsland s6,1
synonym,intelligence community,IC,1
synonym,department of aviation,DOAV,1
synonym,networking protocols,bluetooth le,1
synonym,gnu compiler collection,GCC,1
synonym,new madrid seismic zone,NMSZ,1
synonym,new senator caldera,NSC,1
synonym,aircraft flight manual,AFM,1
synonym,video transmitter,VTX,1
synonym,inverse modeling,IM,1
synonym,flight risk assessment tool,FRAT,1
synonym,table of contents,TOC,1
ancestor,key features,vortex formation,1
synonym,high dynamic range,HDR,1
sibling,CV,AV,1
synonym,DOT,FAA,1
sibling,ground control systems,data links,1
ancestor,technical solutions,geo fencing,1
synonym,japanese high pressure gas safety act,JHPGSA,1
synonym,africanized honey bees,AHBs,1
synonym,light medium tactical vehicles,LMTV,1
synonym,municipal waste combustor,MWC,1
synonym,ontario provincial police,OPP,1
synonym,uav navigation,UAVN,1
synonym,IFR,instrument flight rules,1
synonym,emergency operations center,EOC,1
synonym,liberal democratic party,LDP,1
synonym,hosted shared desktop,HSD,1
synonym,space situational awareness,SSA,1
synonym,air navigation order,ANO,1
synonym,european central bank,ECB,1
synonym,electric field instrument,EFI,1
synonym,virtual reality scene generator,VRSG,1
synonym,high availability,active active,1
synonym,common internet file services,CIFS,1
synonym,saint helena,SH,1
synonym,software defined radios,SDR,1
synonym,flight training affiliate,FTA,1
synonym,legacy management,LM,1
ancestor,panama canal,seaway management,1
sibling,MSMQ,SOAP,1
synonym,incremental social learning,ISL,1
synonym,ground control interface,GCI,1
synonym,single objective particle swarm optimizer,SOPSO,1
synonym,national ambient air quality standards,NAAQS,1
synonym,small transport aircraft technology,STAT,1
synonym,web services management,WSM,1
synonym,partially observable markov decision processes,POMDP,1
synonym,SLAs,service level agreement,1
synonym,inversion of control,IoC,1
ancestor,launch files,live demos,1
synonym,integrated communications systems model,ICSM,1
synonym,mine countermeasure,MCM,1
ancestor,drone swarms,emerging technologies,1
synonym,synergistic unmanned manned intelligent teaming,Sumit,1
synonym,remotely operated vehicles,ROV,1
ancestor,commercial purposes,real estate agents,1
synonym,law enforcement intelligence units,LEIU,1
synonym,motion base simulator,MBS,1
synonym,remote controlled weapon system,RCWS,1
synonym,air route traffic control center,ARTCC,1
synonym,indian space research organisation,ISRO,1
ancestor,radio systems,wi fi,1
synonym,military operations areas,MOAs,1
synonym,security content automation protocol,SCAP,1
synonym,emerging nondestructive inspection,NDI,1
synonym,battle management,BM,1
ancestor,and energy,autonomous vessels,1
synonym,civil operations,rpas civops,1
synonym,intelligent drone systems,IDS,1
synonym,extra battery,$109,1
synonym,information management system,IMS,1
sibling,jammer guns,anti drone,1
sibling,web sites,IP,1
synonym,wireless mesh network,WMN,1
synonym,static random access memory,SRAM,1
synonym,medium range mobile,MRM,1
synonym,marine air ground task force,MAGTF,1
synonym,european airspace,ULTRA,1
synonym,operational risk management,ORM,1
ancestor,valid military objectives,aqap leaders,1
ancestor,weather conditions,external factors,1
synonym,stakeholder relevance statement,SRS,1
sibling,night waivers,beyond visual line of sight,1
sibling,air traffic control,coastal surveillance,1
synonym,remote piloted aircraft systems,RPAS,1
synonym,future airborne capability environment,FACE,1
sibling,wildlife conservation,aerial photography,1
synonym,SOA,service oriented architecture,1
synonym,health information service provider,HISP,1
ancestor,terminal emulation,TTY,1
synonym,transportation as a service,TaaS,1
synonym,unmanned aerial vehicles,UAVS,1
ancestor,operational concepts,littoral operations,1
synonym,technical evaluation team,TET,1
ancestor,"$25,000",PIX4D,1
synonym,air navigation service providers,ANSP,1
synonym,agar surfaces,robust swarmers,1
synonym,application identifiers,AIs,1
sibling,trace element,sr isotope,1
ancestor,operating system,windows xp,1
synonym,civil aviation,DCA,1
sibling,NSA,GCHQ,1
synonym,SHENZHEN,H.K,1
synonym,moving target indicator,MTI,1
sibling,proxy servers,dns servers,1
sibling,water levels,visibility conditions,1
synonym,RPAs,remotely piloted aircrafts,1
sibling,xiro xplorer mini,parrot bebop,1
synonym,international risk management institute,IRMI,1
synonym,oracle partner network,OPN,1
synonym,swarm technology,LOCUST,1
sibling,MSPs,IT,1
synonym,federal register notice,FRN,1
synonym,advanced systems laboratory,ATAS,1
synonym,controller managed spacing,CMS,1
sibling,UAM,UTM,1
synonym,commercial vehicle operations,CVO,1
sibling,KDOT,private sector,1
sibling,MISO,MIMO,1
synonym,japan air self defense force,JASDF,1
synonym,unmanned aviation system,UAS,1
synonym,natick soldier system center,NSSC,1
synonym,committee on publication ethics,COPE,1
synonym,UNICEF,hong kong,1
synonym,overseas development institute,ODI,1
synonym,distributed system architecture,DSA,1
synonym,area control centers,ACCs,1
synonym,compact fluorescent lamp,CFL,1
synonym,internet explorer,IE,1
synonym,precision agriculture,PA,1
sibling,electric cars,consumer electronics,1
sibling,position hold,waypoint mapping,1
ancestor,NSA,intelligence agencies,1
synonym,of aviation medicine,AAM,1
synonym,behavior driven development,BDD,1
ancestor,video analytics,object counting,1
synonym,mobile launcher,ML,1
synonym,sport pilot certified flight instructor,CFIS,1
synonym,hydrogen release compound,HRC,1
synonym,rapid refresh,RAP,1
ancestor,NAS,UAS,1
ancestor,specific ports,FTP,1
synonym,joint model,JM,1
synonym,HOURS,EST,1
synonym,ultra short baseline,USBL,1
synonym,federal aviation regulation,FAR,1
synonym,visual testing,VT,1
synonym,alliance ground surveillance,AGS,1
ancestor,relevant information,operations manual,1
synonym,landing craft utility,LCU,1
synonym,saurashtra peninsula,SP,1
synonym,guinea bissau,GW,1
synonym,capacity planning tool,CPT,1
synonym,universal device socket,UDS,1
synonym,attenuation correction,AC,1
ancestor,JConsole,hotspot vm,1
sibling,interview question,oracle fusion middleware webcenter,1
sibling,CO2,nox emissions,1
synonym,dense rock equivalent,DRE,1
synonym,united states border patrol,USBP,1
ancestor,return to home,operational modes,1
synonym,computer science,CS,1
ancestor,demonstration range facility,UAS,1
synonym,hawaiian dredging construction company,HDCC,1
sibling,multi stream,multi port,1
synonym,oracle mangement server,OMS,1
synonym,indicated air speed,IAS,1
sibling,flight restrictions,weather related,1
synonym,just in time architecture,JITA,1
ancestor,rising global,frida escobedo,1
sibling,R&D,field operations,1
synonym,common data bus,CDB,1
sibling,cpu usage,memory usage,1
synonym,russian federation,RU,1
synonym,UTM,PODIUM,1
ancestor,unmanned aircraft,delivery drones,1
sibling,aerial photography,aerial video,1
synonym,air service navigation provider,ASNP,1
synonym,local processing office,LPO,1
sibling,foreign military,law enforcement,1
sibling,satellite navigation,IMU,1
synonym,american personal communications,APC,1
ancestor,environmental screening,highly accelerated life testing,1
synonym,draper small autonomous aerial vehicle,DSAAV,1
ancestor,IT,HTML,1
ancestor,infrared camera,high tech,1
synonym,the original series,TOS,1
sibling,TAF,METAR,1
synonym,radar cross section,RCS,1
synonym,caicos islands,TC,1
synonym,post processed kinematics,PPK,1
synonym,android runtime,ART,1
synonym,digital pressure monitor,DPM,1
synonym,competitive particle growth,CPG,1
synonym,tactical ground station,TGS,1
sibling,SOA,OSB,1
synonym,control station,CS,1
sibling,ETL,ssis package,1
synonym,incident management teams,IMT,1
synonym,radio television digital news association,RTDNA,1
sibling,communication towers,satellite dishes,1
synonym,portable ground data terminals,PGDT,1
